site_id,site_catcf,site_catcp
28905ebd,1534600,0.208019048938
75fa27f6,17915,0.111282968705
70fb0e29,3298,0.136140350877
bcf865d9,48,0.0458891013384
42a36e14,581,0.230922098569
72722551,1626,0.0576248360917
5378d028,46,0.095041322314
f028772b,2272940,0.17957862931
0569f928,923,0.0539545215409
e787de0e,89,0.0735537190083
3e814130,863245,0.283002661699
50e219e0,2126350,0.128579535817
335d28a8,12779,0.0936437448704
dedf689d,12593,0.513979021264
8fd0aea4,111,0.0148336228785
f66779e6,10019,0.0396867523331
9ccfa2ea,4,0.012539184953
c0dd3be3,4714,0.111995438455
76b2941d,3170,0.0302610853897
74073276,2,0.133333333333
a818d37a,13,0.00402352212937
