site_id,site_catcf,site_catcp
cef3e649,161450,0.0932403759415
0d82db25,4,0.153846153846
a3c42688,525,0.0472037403345
8df2e842,436,0.259523809524
2fc4f2aa,4,0.0170212765957
d1327cf5,15197,0.123318240096
5326cf99,1,0.00746268656716
fc6fa53d,1148,0.0485125084517
09481d60,8518,0.155191575419
879c24eb,1339,0.104723916784
8ded1f7a,132021,0.0899780406718
0f2161f8,1033720,0.108117730473
18b1e0be,15,0.0704225352113
f95efa07,282664,0.247587314768
4681bb9d,908,0.144310235219
07d7df22,5210822,0.199147865672
7113d72a,3,0.00983606557377
71af18ce,1,0.166666666667
dc97ec06,8552,0.156501052246
75d80bbe,3849,0.095963499464
0f9a328c,867,0.155237242614
a86a3e89,325,0.130104083267
0bfbc358,7,0.0164319248826
4ce2e9fc,2570,0.123777874103
79f0b860,35,0.0577557755776
a7fd01ec,55,0.151515151515
2281a340,30,0.0133689839572
