transaction_count,transaction_date,transaction_dow,transaction_year,transaction_month,transaction_quarter,transaction_week,transaction_doy,transaction_daynum,transaction_age,doy_avg,dow_avg,week_avg,month_avg,qt_avg
3182918,2013-04-01,1,2013,4,2,14,91,0,00:00:00,9213917.500000000000,17280507.095890410959,8750542.181818181818,8684675.636363636364,9687568.742424242424
2648561,2013-04-02,2,2013,4,2,14,92,1,1 day,8099501.500000000000,16805801.611111111111,8750542.181818181818,8684675.636363636364,9687568.742424242424
3222455,2013-04-03,3,2013,4,2,14,93,2,2 days,8859039.000000000000,16523304.380281690141,8750542.181818181818,8684675.636363636364,9687568.742424242424
3322814,2013-04-04,4,2013,4,2,14,94,3,3 days,8983213.000000000000,17245438.069444444444,8750542.181818181818,8684675.636363636364,9687568.742424242424
4522863,2013-04-06,6,2013,4,2,14,96,5,5 days,11553612.500000000000,16582741.000000000000,8750542.181818181818,8684675.636363636364,9687568.742424242424
2837397,2013-04-07,7,2013,4,2,14,97,6,6 days,8302396.500000000000,17050789.786666666667,8750542.181818181818,8684675.636363636364,9687568.742424242424
2700720,2013-04-08,1,2013,4,2,15,98,7,7 days,8203054.500000000000,17280507.095890410959,9289178.818181818182,8684675.636363636364,9687568.742424242424
3846531,2013-04-09,2,2013,4,2,15,99,8,8 days,10399117.000000000000,16805801.611111111111,9289178.818181818182,8684675.636363636364,9687568.742424242424
2812869,2013-04-10,3,2013,4,2,15,100,9,9 days,8237595.000000000000,16523304.380281690141,9289178.818181818182,8684675.636363636364,9687568.742424242424
3040536,2013-04-12,5,2013,4,2,15,102,11,11 days,9106908.500000000000,17438844.183098591549,9289178.818181818182,8684675.636363636364,9687568.742424242424
2784836,2013-04-13,6,2013,4,2,15,103,12,12 days,8260110.500000000000,16582741.000000000000,9289178.818181818182,8684675.636363636364,9687568.742424242424
2562383,2013-04-15,1,2013,4,2,16,105,14,14 days,7751702.000000000000,17280507.095890410959,8244812.727272727273,8684675.636363636364,9687568.742424242424
3505180,2013-04-16,2,2013,4,2,16,106,15,15 days,9692268.000000000000,16805801.611111111111,8244812.727272727273,8684675.636363636364,9687568.742424242424
2641107,2013-04-18,4,2013,4,2,16,108,17,17 days,8038681.000000000000,17245438.069444444444,8244812.727272727273,8684675.636363636364,9687568.742424242424
3711264,2013-04-19,5,2013,4,2,16,109,18,18 days,9989697.500000000000,17438844.183098591549,8244812.727272727273,8684675.636363636364,9687568.742424242424
2583098,2013-04-20,6,2013,4,2,16,110,19,19 days,8144548.500000000000,16582741.000000000000,8244812.727272727273,8684675.636363636364,9687568.742424242424
