ROWNUM XCOUNT ODATE OYEAR OMONTH ODAY ODAYNUM NCOUNT NDNUM FLAG NDATE NDAY NMONTH NYEAR
1 3182918 2013-04-01 2013 4 1 0 3182918 0 r 2013-04-01 01 04 2013
2 2648561 2013-04-02 2013 4 2 1 2648561 1 r 2013-04-02 02 04 2013
3 3222455 2013-04-03 2013 4 3 2 3222455 2 r 2013-04-03 03 04 2013
4 3322814 2013-04-04 2013 4 4 3 3322814 3 r 2013-04-04 04 04 2013
5 4522863 2013-04-06 2013 4 6 5 3209135 4 i 2013-04-05 05 04 2013
5 4522863 2013-04-06 2013 4 6 5 4522863 5 r 2013-04-06 06 04 2013
6 2837397 2013-04-07 2013 4 7 6 2837397 6 r 2013-04-07 07 04 2013
7 2700720 2013-04-08 2013 4 8 7 2700720 7 r 2013-04-08 08 04 2013
8 3846531 2013-04-09 2013 4 9 8 3846531 8 r 2013-04-09 09 04 2013
9 2812869 2013-04-10 2013 4 10 9 2812869 9 r 2013-04-10 10 04 2013
10 3040536 2013-04-12 2013 4 12 11 2957979 10 i 2013-04-11 11 04 2013
10 3040536 2013-04-12 2013 4 12 11 3040536 11 r 2013-04-12 12 04 2013
11 2784836 2013-04-13 2013 4 13 12 2784836 12 r 2013-04-13 13 04 2013
12 2562383 2013-04-15 2013 4 15 14 2891151 13 i 2013-04-14 14 04 2013
12 2562383 2013-04-15 2013 4 15 14 2562383 14 r 2013-04-15 15 04 2013
13 3505180 2013-04-16 2013 4 16 15 3505180 15 r 2013-04-16 16 04 2013
14 2641107 2013-04-18 2013 4 18 17 2964644 16 i 2013-04-17 17 04 2013
14 2641107 2013-04-18 2013 4 18 17 2641107 17 r 2013-04-18 18 04 2013
15 3711264 2013-04-19 2013 4 19 18 3711264 18 r 2013-04-19 19 04 2013
16 2583098 2013-04-20 2013 4 20 19 2583098 19 r 2013-04-20 20 04 2013
17 3459146 2013-04-21 2013 4 21 20 3459146 20 r 2013-04-21 21 04 2013
18 2605354 2013-04-22 2013 4 22 21 2605354 21 r 2013-04-22 22 04 2013
19 2680164 2013-04-23 2013 4 23 22 2680164 22 r 2013-04-23 23 04 2013
20 2694124 2013-04-25 2013 4 25 24 2708266 23 i 2013-04-24 24 04 2013
20 2694124 2013-04-25 2013 4 25 24 2694124 24 r 2013-04-25 25 04 2013
21 2720571 2013-04-26 2013 4 26 25 2720571 25 r 2013-04-26 26 04 2013
22 2090238 2013-04-28 2013 4 28 27 2785685 26 i 2013-04-27 27 04 2013
22 2090238 2013-04-28 2013 4 28 27 2090238 27 r 2013-04-28 28 04 2013
23 3501876 2013-05-01 2013 5 1 30 2924255 28 i 2013-04-29 29 04 2013
23 3501876 2013-05-01 2013 5 1 30 2924255 29 i 2013-04-30 30 04 2013
23 3501876 2013-05-01 2013 5 1 30 3501876 30 r 2013-05-01 01 05 2013
24 3027140 2013-05-02 2013 5 2 31 3027140 31 r 2013-05-02 02 05 2013
25 3511585 2013-05-03 2013 5 3 32 3511585 32 r 2013-05-03 03 05 2013
26 3809256 2013-05-04 2013 5 4 33 3809256 33 r 2013-05-04 04 05 2013
27 5184687 2013-05-06 2013 5 6 35 3648737 34 i 2013-05-05 05 05 2013
27 5184687 2013-05-06 2013 5 6 35 5184687 35 r 2013-05-06 06 05 2013
28 3238996 2013-05-07 2013 5 7 36 3238996 36 r 2013-05-07 07 05 2013
