i	"RTT(i)=(RTT+RTT_A+RTT_B+RTT_C)~LOGNORMAL(4.8,0.3)"
1	157.3814351
2	88.42569953
3	140.9181355
4	144.7328258
5	99.23476412
6	123.4401089
7	163.2030973
8	129.8536803
9	128.5494589
10	140.0114862
11	132.188869
12	154.8321722
13	139.8777021
14	150.5280025
15	105.1747608
16	104.9688862
17	164.1809381
18	121.4282867
19	126.6963459
20	115.9521563
21	93.12840187
22	124.6321374
23	130.0258176
24	117.0131219
25	108.5205256
26	85.37089435
27	152.3262775
28	128.9271764
29	118.9813361
30	75.85821765
31	117.4050978
32	127.0083878
33	152.2147929
34	106.4496872
35	169.0216203
36	134.4761612
37	89.14137096
38	113.8935864
39	113.0161507
40	88.59417332
41	71.78457441
42	110.0820349
43	130.9114446
44	133.4800786
45	111.0674312
46	84.3189785
47	110.203059
48	151.0504185
49	120.3602594
50	137.6361191
51	111.7492694
52	91.71626488
53	135.0629953
54	120.7599781
55	125.287422
56	107.5192392
57	135.067081
58	140.7167625
59	118.0750738
60	149.2960703
61	113.8176925
62	100.6786892
63	121.5679798
64	94.2428096
65	140.2401911
66	138.4769518
67	127.1467966
68	102.7062147
69	116.7487341
70	123.7362442
71	121.0638368
72	110.4114763
73	163.7244573
74	149.8691147
75	156.147368
76	124.9648203
77	140.6560218
78	104.5598489
79	98.03556211
80	109.7882273
81	106.805082
82	139.4101318
83	163.1058797
84	77.39310715
85	87.25678557
86	110.4275166
87	82.55132857
88	119.0862719
89	122.9418922
90	115.2348747
91	84.5981315
92	126.5858838
93	149.1323348
94	126.0774431
95	115.0118907
96	105.0618958
97	122.4801625
98	119.1968541
99	133.6479624
100	147.5413306
101	146.7299215
102	141.154548
103	145.4490108
104	118.983526
105	114.4906123
106	119.462019
107	123.0405665
108	129.5084283
109	142.5284843
110	150.7683595
111	132.5330317
112	164.170491
113	111.9463701
114	100.5046687
115	138.8172538
116	149.3127917
117	119.0595358
118	127.7780169
119	145.7702829
120	138.6224344
121	144.4097877
122	102.4260557
123	126.1005922
124	122.3199685
125	158.0067359
126	123.6858485
127	117.2210095
128	127.0797146
129	111.6953007
130	104.6515832
131	112.4710179
132	88.29315644
133	130.7844277
134	115.1267704
135	88.75008778
136	136.2524622
137	122.9296122
138	99.83518772
139	112.9036777
140	100.007348
141	125.6995831
142	150.1105241
143	120.561009
144	120.4463151
145	144.6442486
146	119.9266094
147	93.98539884
148	130.0263043
149	114.3275392
150	152.5511674
151	117.8076786
152	143.3296136
153	119.8292108
154	118.5491884
155	125.1973094
156	124.9953331
157	103.5833281
158	151.2253583
159	162.977613
160	104.6200689
161	169.8562165
162	94.57869931
163	115.9580699
164	112.4532629
165	104.1960293
166	108.9461257
167	97.59043499
168	107.7462451
169	89.34957544
170	136.2134358
171	143.4731759
172	100.1541054
173	134.3354238
174	122.1266428
175	91.36326115
176	137.5460796
177	100.2212657
178	92.15592852
179	155.8862703
180	116.4423937
181	142.3217397
182	132.398264
183	144.3751438
184	126.6293899
185	117.9402356
186	120.0244182
187	126.5267972
188	119.7828912
189	90.7538962
190	128.4890655
191	114.5836452
192	107.6800475
193	130.1583003
194	174.4911319
195	152.6823629
196	79.88215116
197	124.737109
198	106.8957686
199	124.7127916
200	118.9685795
201	124.1893254
202	134.7142989
203	91.0534012
204	127.660834
205	117.8429717
206	145.1395248
207	118.5077835
208	72.43254327
209	109.1857422
210	129.2523601
211	164.116476
212	88.96893455
213	129.956741
214	131.975572
215	113.5116785
216	123.5337549
217	107.2050746
218	166.4419612
219	128.8215358
220	111.5364251
221	135.9940584
222	64.02945966
223	126.2624305
224	129.927944
225	113.9368852
226	120.2273041
227	120.0927425
228	122.2352969
229	119.2438794
230	123.5487325
231	139.2136208
232	136.1124647
233	149.2181063
234	90.67108021
235	142.5900901
236	114.613908
237	143.538712
238	131.097025
239	107.6676962
240	151.3429886
241	146.7181192
242	121.8266581
243	118.5645416
244	138.2557464
245	139.4423894
246	114.2833185
247	100.0835613
248	136.0703733
249	106.971355
250	135.2797291
251	137.6921261
252	96.25291244
253	169.1164129
254	140.8976516
255	123.4358319
256	121.1847922
257	114.7291931
258	136.8707568
259	111.8608531
260	116.3447295
261	107.8818041
262	102.3248364
263	105.0696492
264	112.5647207
265	109.3844176
266	124.0351118
267	123.1895263
268	108.6693147
269	139.0889204
270	113.3378912
271	129.1570633
272	108.4260927
273	87.81457742
274	133.1528053
