i	date	DJIA-MINS
1	11/30/2006 12:01	12172.98
2	11/30/2006 12:02	12177.38
3	11/30/2006 12:05	12174.74
4	11/30/2006 12:07	12172.42
5	11/30/2006 12:09	12174.9
6	11/30/2006 12:11	12179.07
7	11/30/2006 12:14	12180.83
8	11/30/2006 12:15	12181.07
9	11/30/2006 12:17	12178.03
10	11/30/2006 12:20	12178.19
11	11/30/2006 12:21	12178.67
12	11/30/2006 12:26	12180.19
13	11/30/2006 12:28	12181.63
14	11/30/2006 12:30	12191.56
15	11/30/2006 12:33	12187.56
16	11/30/2006 12:35	12190.76
17	11/30/2006 12:37	12184.6
18	11/30/2006 12:40	12179.55
19	11/30/2006 12:41	12177.38
20	11/30/2006 12:43	12180.43
21	11/30/2006 12:46	12183.23
22	11/30/2006 12:48	12182.51
23	11/30/2006 12:50	12180.83
24	11/30/2006 12:53	12187.16
25	11/30/2006 12:54	12186.84
26	11/30/2006 12:56	12187.48
27	11/30/2006 12:59	12185
28	11/30/2006 13:00	12183.63
29	11/30/2006 13:02	12184.27
30	11/30/2006 13:05	12185
31	11/30/2006 13:06	12182.11
32	11/30/2006 13:08	12185.16
33	11/30/2006 13:11	12192.61
34	11/30/2006 13:12	12193.33
35	11/30/2006 13:14	12199.34
36	11/30/2006 13:17	12215.6
37	11/30/2006 13:19	12210.87
38	11/30/2006 13:21	12211.99
39	11/30/2006 13:24	12211.99
40	11/30/2006 13:25	12211.75
41	11/30/2006 13:27	12217.04
42	11/30/2006 13:30	12230.02
43	11/30/2006 13:32	12229.46
44	11/30/2006 13:34	12224.41
45	11/30/2006 13:37	12222.57
46	11/30/2006 13:38	12221.29
47	11/30/2006 13:43	12213.68
48	11/30/2006 13:44	12214.56
49	11/30/2006 13:46	12213.2
50	11/30/2006 13:49	12217.6
51	11/30/2006 13:50	12215.68
52	11/30/2006 13:55	12215.36
53	11/30/2006 13:57	12214.24
54	11/30/2006 13:59	12205.02
55	11/30/2006 14:02	12199.02
56	11/30/2006 14:03	12201.42
57	11/30/2006 14:05	12199.74
58	11/30/2006 14:08	12198.53
59	11/30/2006 14:09	12200.54
60	11/30/2006 14:11	12203.1
61	11/30/2006 14:14	12198.69
62	11/30/2006 14:16	12196.93
63	11/30/2006 14:18	12194.77
64	11/30/2006 14:21	12201.5
65	11/30/2006 14:22	12203.58
66	11/30/2006 14:25	12205.02
67	11/30/2006 14:28	12211.59
68	11/30/2006 14:30	12219.44
69	11/30/2006 14:36	12235.79
70	11/30/2006 14:37	12244.76
71	11/30/2006 14:40	12248.2
72	11/30/2006 14:43	12243.24
73	11/30/2006 14:45	12247.88
74	11/30/2006 14:47	12252.37
75	11/30/2006 14:50	12248.68
76	11/30/2006 14:52	12243.64
77	11/30/2006 14:54	12244.6
78	11/30/2006 14:57	12253.17
79	11/30/2006 14:58	12249.09
80	11/30/2006 15:01	12247.48
81	11/30/2006 15:04	12243.8
82	11/30/2006 15:05	12247.72
83	11/30/2006 15:11	12256.22
84	11/30/2006 15:13	12258.22
85	11/30/2006 15:18	12258.54
86	11/30/2006 15:20	12257.02
87	11/30/2006 15:23	12259.66
88	11/30/2006 15:26	12259.98
89	11/30/2006 15:28	12261.1
90	11/30/2006 15:30	12274.4
91	11/30/2006 15:33	12268.95
92	11/30/2006 15:35	12268.95
93	11/30/2006 15:41	12256.54
94	11/30/2006 15:43	12253.41
95	11/30/2006 15:48	12238.75
96	11/30/2006 15:50	12238.67
97	11/30/2006 15:56	12237.55
98	11/30/2006 15:58	12230.82
99	11/30/2006 16:00	12227.37
100	11/30/2006 16:03	12222.01
101	11/30/2006 16:04	12221.93
102	12/1/2006 9:31	12232.26
103	12/1/2006 9:33	12243.8
104	12/1/2006 9:40	12237.79
105	12/1/2006 9:42	12231.06
106	12/1/2006 9:50	12238.67
107	12/1/2006 9:52	12237.15
108	12/1/2006 9:58	12233.3
109	12/1/2006 10:00	12215.44
110	12/1/2006 10:03	12199.02
111	12/1/2006 10:07	12196.21
112	12/1/2006 10:09	12176.18
113	12/1/2006 10:12	12182.43
114	12/1/2006 10:15	12183.87
115	12/1/2006 10:17	12181.31
116	12/1/2006 10:24	12182.75
117	12/1/2006 10:27	12170.42
118	12/1/2006 10:30	12169.93
119	12/1/2006 10:34	12142.94
120	12/1/2006 10:36	12140.93
121	12/1/2006 10:43	12128.76
122	12/1/2006 10:45	12132.04
123	12/1/2006 10:48	12145.58
124	12/1/2006 10:51	12140.69
125	12/1/2006 10:53	12143.1
126	12/1/2006 10:58	12146.78
127	12/1/2006 11:00	12146.62
128	12/1/2006 11:03	12155.11
129	12/1/2006 11:06	12159.76
130	12/1/2006 11:08	12157.52
131	12/1/2006 11:10	12155.99
132	12/1/2006 11:13	12154.39
133	12/1/2006 11:15	12159.12
134	12/1/2006 11:21	12157.44
135	12/1/2006 11:23	12156.88
136	12/1/2006 11:29	12155.75
137	12/1/2006 11:31	12148.22
138	12/1/2006 11:34	12154.15
139	12/1/2006 11:37	12156.88
140	12/1/2006 11:39	12157.92
141	12/1/2006 11:42	12157.84
142	12/1/2006 11:45	12166.97
143	12/1/2006 11:46	12178.19
144	12/1/2006 11:52	12184.76
145	12/1/2006 11:54	12183.15
146	12/1/2006 11:56	12183.71
147	12/1/2006 11:58	12206.31
148	12/1/2006 12:00	12203.26
149	12/1/2006 12:02	12199.02
150	12/1/2006 12:04	12178.75
151	12/1/2006 12:06	12178.91
152	12/1/2006 12:08	12183.23
153	12/1/2006 12:10	12180.43
154	12/1/2006 12:12	12181.63
155	12/1/2006 12:17	12173.3
156	12/1/2006 12:18	12168.33
157	12/1/2006 12:23	12167.37
158	12/1/2006 12:25	12172.9
159	12/1/2006 12:27	12170.01
160	12/1/2006 12:30	12176.5
161	12/1/2006 12:31	12180.99
162	12/1/2006 12:33	12176.74
163	12/1/2006 12:36	12170.34
164	12/1/2006 12:38	12169.77
165	12/1/2006 12:40	12168.89
166	12/1/2006 12:42	12167.53
167	12/1/2006 12:44	12167.29
168	12/1/2006 12:46	12169.53
169	12/1/2006 12:49	12169.93
170	12/1/2006 12:50	12169.77
171	12/1/2006 12:52	12165.29
172	12/1/2006 12:55	12169.85
173	12/1/2006 12:56	12171.86
174	12/1/2006 12:58	12167.05
175	12/1/2006 13:01	12152.39
176	12/1/2006 13:03	12150.63
177	12/1/2006 13:05	12140.77
178	12/1/2006 13:08	12140.05
179	12/1/2006 13:10	12136.85
180	12/1/2006 13:12	12151.35
181	12/1/2006 13:15	12151.59
182	12/1/2006 13:16	12150.31
183	12/1/2006 13:18	12153.19
184	12/1/2006 13:21	12152.79
185	12/1/2006 13:23	12158.96
186	12/1/2006 13:28	12148.7
187	12/1/2006 13:29	12147.82
188	12/1/2006 13:35	12142.54
189	12/1/2006 13:36	12137.73
190	12/1/2006 13:38	12137.17
191	12/1/2006 13:41	12139.33
192	12/1/2006 13:43	12142.7
193	12/1/2006 13:48	12144.38
194	12/1/2006 13:49	12144.62
195	12/1/2006 13:52	12134.77
196	12/1/2006 13:55	12135.97
197	12/1/2006 13:56	12137.41
198	12/1/2006 13:59	12150.15
199	12/1/2006 14:02	12149.59
200	12/1/2006 14:03	12142.46
201	12/1/2006 14:05	12138.13
202	12/1/2006 14:08	12124.91
203	12/1/2006 14:09	12131.56
204	12/1/2006 14:12	12137.49
205	12/1/2006 14:14	12126.43
206	12/1/2006 14:16	12125.95
207	12/1/2006 14:18	12121.39
208	12/1/2006 14:21	12125.95
209	12/1/2006 14:22	12121.39
210	12/1/2006 14:25	12128.76
211	12/1/2006 14:27	12120.1
212	12/1/2006 14:29	12122.19
213	12/1/2006 14:31	12125.95
214	12/1/2006 14:34	12119.22
215	12/1/2006 14:35	12111.53
216	12/1/2006 14:37	12105.12
217	12/1/2006 14:40	12102.08
218	12/1/2006 14:42	12095.43
219	12/1/2006 14:44	12097.03
220	12/1/2006 14:47	12103.92
221	12/1/2006 14:48	12098.71
222	12/1/2006 14:50	12102.48
223	12/1/2006 14:53	12104.8
224	12/1/2006 14:55	12108.01
225	12/1/2006 14:57	12107.61
226	12/1/2006 15:00	12112.33
227	12/1/2006 15:02	12111.21
228	12/1/2006 15:04	12119.7
229	12/1/2006 15:07	12122.27
230	12/1/2006 15:09	12132.84
231	12/1/2006 15:14	12132.12
232	12/1/2006 15:16	12127.31
233	12/1/2006 15:18	12125.87
234	12/1/2006 15:21	12134.12
235	12/1/2006 15:23	12135.09
236	12/1/2006 15:25	12146.22
237	12/1/2006 15:28	12147.58
238	12/1/2006 15:30	12148.78
239	12/1/2006 15:32	12139.57
240	12/1/2006 15:35	12138.21
241	12/1/2006 15:36	12145.1
242	12/1/2006 15:38	12149.03
243	12/1/2006 15:42	12160.32
244	12/1/2006 15:43	12157.2
245	12/1/2006 15:45	12167.85
246	12/1/2006 15:48	12175.46
247	12/1/2006 15:50	12175.7
248	12/1/2006 15:52	12184.68
249	12/1/2006 15:55	12177.47
250	12/1/2006 15:56	12179.79
251	12/1/2006 15:58	12180.03
252	12/1/2006 16:01	12193.57
253	12/1/2006 16:01	12193.81
254	12/1/2006 16:02	12194.13
255	12/4/2006 9:31	12233.86
256	12/4/2006 9:33	12212.15
257	12/4/2006 9:35	12217.92
258	12/4/2006 9:39	12235.55
259	12/4/2006 9:41	12227.21
260	12/4/2006 9:44	12226.89
261	12/4/2006 9:47	12226.49
262	12/4/2006 9:49	12222.25
263	12/4/2006 9:51	12228.34
264	12/4/2006 9:54	12230.58
265	12/4/2006 9:56	12228.26
266	12/4/2006 9:59	12229.7
267	12/4/2006 10:02	12245.64
268	12/4/2006 10:04	12242.36
269	12/4/2006 10:07	12244.36
