i____	mapcode
1	      11.000
2	     -21.000
3	      20.000
4	     -30.000
5	       2.000
6	     -12.000
7	       5.000
8	     -15.000
9	       5.000
10	     -15.000
11	      14.000
12	     -24.000
13	      20.000
14	     -30.000
15	      10.000
16	     -20.000
17	       6.000
18	     -16.000
19	      15.000
20	     -25.000
21	       9.000
22	     -19.000
23	       4.000
24	     -14.000
25	      17.000
26	     -27.000
27	      -4.000
28	      -6.000
29	      -2.000
30	      -8.000
31	       8.000
32	     -18.000
33	      -3.000
34	      -7.000
35	      -4.000
36	      -6.000
37	      -5.000
38	      -5.000
39	       3.000
40	     -13.000
41	      18.000
42	     -28.000
43	      16.000
44	     -26.000
45	      14.000
46	     -24.000
47	      17.000
48	     -27.000
49	      19.000
50	     -29.000
51	      17.000
52	     -27.000
53	      11.000
54	     -21.000
55	       3.000
56	     -13.000
57	       6.000
58	     -16.000
59	       7.000
60	     -17.000
61	      -2.000
62	      -8.000
63	      12.000
64	     -22.000
65	       4.000
66	     -14.000
67	      16.000
68	     -26.000
69	      12.000
70	     -22.000
71	      12.000
72	     -22.000
73	      -5.000
74	      -5.000
75	       6.000
76	     -16.000
77	      -3.000
78	      -7.000
79	      18.000
80	     -28.000
81	      -5.000
82	      -5.000
83	      16.000
84	     -26.000
85	       6.000
86	     -16.000
87	      -3.000
88	      -7.000
89	      13.000
90	     -23.000
91	      15.000
92	     -25.000
93	       2.000
94	     -12.000
95	       1.000
96	     -11.000
97	       1.000
98	     -11.000
99	       2.000
100	     -12.000
101	      14.000
102	     -24.000
103	      15.000
104	     -25.000
105	      11.000
106	     -21.000
107	      12.000
108	     -22.000
109	      21.000
110	     -31.000
111	       1.000
112	     -11.000
113	       0.000
114	     -10.000
115	       3.000
116	     -13.000
117	      16.000
118	      -6.000
119	     -12.000
120	     -14.000
121	     -11.000
122	     -15.000
123	      -5.000
124	     -21.000
125	      -5.000
126	     -21.000
127	       5.000
128	     -31.000
129	      -7.000
130	     -19.000
131	      11.000
132	     -37.000
133	       6.000
134	     -32.000
135	     -11.000
136	     -15.000
137	       2.000
138	     -28.000
139	       6.000
140	     -32.000
141	      -8.000
142	     -18.000
143	      -8.000
144	     -18.000
145	     -12.000
146	     -14.000
147	       5.000
148	     -31.000
149	       7.000
150	     -33.000
151	      -1.000
152	     -25.000
153	     -13.000
154	     -13.000
155	      -8.000
156	     -18.000
157	     -11.000
158	     -15.000
159	       3.000
160	     -29.000
161	       1.000
162	     -27.000
163	       6.000
164	     -32.000
165	       1.000
166	     -27.000
167	       8.000
168	     -34.000
169	     -12.000
170	     -14.000
171	      -3.000
172	     -23.000
173	       8.000
174	     -34.000
175	     -10.000
176	     -16.000
177	       3.000
178	     -29.000
179	       6.000
180	     -32.000
181	       0.000
182	     -26.000
183	      -4.000
184	     -22.000
185	     -10.000
186	     -16.000
187	      -3.000
188	     -23.000
189	       5.000
190	     -31.000
191	       9.000
192	     -35.000
193	       1.000
194	     -27.000
195	       3.000
196	     -29.000
197	       2.000
198	     -28.000
199	      -7.000
200	     -19.000
201	     -13.000
202	     -13.000
203	       5.000
204	     -31.000
205	      -1.000
206	     -25.000
207	      -1.000
208	     -25.000
209	       3.000
210	     -29.000
211	      -1.000
212	     -25.000
213	      31.000
214	     -11.000
215	       8.000
216	     -24.000
217	       0.000
218	     -16.000
219	      -6.000
220	     -10.000
221	      -7.000
222	      -9.000
223	       6.000
224	     -22.000
225	      -6.000
226	     -10.000
227	      -7.000
228	      -9.000
229	       8.000
230	     -24.000
231	      -4.000
232	     -12.000
233	       3.000
234	     -19.000
235	      11.000
236	     -27.000
237	       7.000
238	     -23.000
239	      -6.000
240	     -10.000
241	      10.000
242	     -26.000
243	      -1.000
244	     -15.000
245	      -5.000
246	     -11.000
247	      14.000
248	     -30.000
249	      -2.000
250	     -14.000
251	      -3.000
252	     -13.000
253	      -3.000
254	     -13.000
255	      17.000
256	     -33.000
257	      -5.000
258	     -11.000
259	      -7.000
260	      -9.000
261	       3.000
262	     -19.000
263	      -8.000
264	      -8.000
265	      13.000
266	     -29.000
267	      -2.000
268	     -14.000
269	      -5.000
270	     -11.000
271	      11.000
272	     -27.000
273	      17.000
274	     -33.000
275	      -5.000
276	     -11.000
277	      12.000
278	     -28.000
279	      11.000
280	     -27.000
281	       1.000
