x	nHPSseries
1	21.406
2	14.909
3	-40.909
4	2.960
5	-28.960
6	32.860
7	-58.788
8	11.560
9	-37.518
10	45.337
11	-71.326
12	12.785
13	-38.756
14	86.434
15	-112.409
16	-5.866
17	-20.112
18	64.202
19	-90.182
20	58.657
21	-84.622
22	35.315
23	-61.299
24	72.779
25	-98.779
26	83.952
27	-109.942
28	59.877
29	-85.864
30	48.382
31	-74.357
32	54.532
33	-80.507
34	85.773
35	-111.757
36	83.315
37	-109.307
38	18.023
39	-44.035
40	28.498
41	-54.481
42	54.206
43	-80.193
44	76.952
45	-102.956
46	-1.427
47	-24.586
48	18.952
49	-44.936
50	29.653
51	-55.665
52	68.414
53	-94.419
54	15.673
55	-41.652
56	62.670
57	-88.666
58	14.874
59	-40.869
60	-11.293
61	-14.720
62	16.192
63	-42.192
64	-3.163
65	-22.841
66	-2.847
67	-23.170
68	49.891
69	-75.862
70	59.936
71	-85.932
72	-3.417
73	-22.596
74	29.351
75	-55.347
76	28.564
77	-54.564
78	-2.436
79	-23.577
80	32.604
81	-58.612
82	46.770
83	-72.765
84	71.607
85	-97.611
86	78.525
87	-104.521
88	0.475
89	-26.483
90	48.812
91	-74.812
92	46.494
93	-72.498
94	64.520
95	-90.511
96	30.735
97	-56.739
98	6.774
99	-32.774
100	27.028
101	-53.023
102	37.855
103	-61.441
104	4.026
105	-26.073
106	25.713
107	-47.480
108	6.014
109	-27.544
110	63.980
111	-85.202
112	-0.943
113	-20.041
114	54.430
115	-75.160
116	45.685
117	-66.127
118	68.482
119	-88.641
120	17.213
121	-37.126
122	12.907
123	-32.566
124	48.693
125	-68.068
126	-3.253
127	-15.864
128	89.034
129	-107.905
130	40.864
131	-59.511
132	15.970
133	-36.277
134	63.454
135	-85.454
136	54.838
137	-76.842
138	85.000
139	-107.000
140	11.264
141	-33.264
142	10.081
143	-32.081
144	55.823
145	-77.806
146	74.229
147	-96.229
148	24.361
149	-46.390
150	86.046
151	-108.046
152	53.664
153	-75.651
154	-10.311
155	-11.689
156	80.103
157	-102.095
158	43.443
159	-65.443
160	82.041
161	-104.016
162	0.519
163	-22.469
164	11.466
165	-33.416
166	14.132
167	-36.082
168	3.334
169	-25.284
170	57.692
171	-79.642
172	52.332
173	-74.282
174	73.157
175	-95.107
176	-9.356
177	-12.594
178	11.187
179	-33.137
180	65.507
181	-87.457
182	63.906
183	-85.856
184	6.908
185	-28.858
186	51.287
187	-73.237
188	7.022
189	-28.972
190	24.112
191	-46.062
192	-9.360
193	-12.590
194	-10.853
195	-11.097
196	79.853
197	-101.803
198	5.499
199	-27.449
200	58.324
201	-80.274
202	-2.149
203	-19.801
204	71.359
205	-93.334
206	68.591
207	-90.591
208	62.527
209	-84.544
210	0.651
211	-22.651
212	69.098
213	-91.086
214	44.361
215	-66.361
216	12.798
217	-34.769
218	75.688
219	-97.688
220	29.891
221	-50.381
222	58.233
223	-77.256
224	70.865
225	-89.976
226	79.007
227	-98.297
228	39.513
229	-58.902
230	17.064
231	-36.621
232	10.867
233	-30.514
234	20.657
235	-40.479
236	27.239
237	-47.145
238	76.435
239	-96.525
240	81.240
241	-101.434
242	74.691
243	-95.047
244	43.479
245	-63.943
246	65.803
247	-86.426
248	35.619
249	-57.013
250	25.478
251	-48.511
252	56.990
253	-80.498
254	74.021
255	-98.021
256	24.516
257	-48.499
258	63.061
259	-87.061
