i	g(x)
1	-7
2	-7
3	-7
4	-7
5	-7
6	-7
7	-7
8	-7
9	-7
10	-7
11	-7
12	-7
13	-7
14	-7
15	-7
16	-7
17	-7
18	-7
19	-7
20	-7
21	-7
22	-7
23	-7
24	-7
25	-7
26	-7
27	-7
28	-7
29	-7
30	-7
31	-7
32	-7
33	-7
34	-7
35	-7
36	-7
37	-7
38	-7
39	-7
40	-7
41	-7
42	-7
43	-7
44	-7
45	-7
46	-7
47	-7
48	-7
49	-7
50	-7
51	-7
52	-7
53	-7
54	-7
55	-7
56	-7
57	-7
58	-7
59	-7
60	-7
61	-7
62	-7
63	-7
64	-7
65	-7
66	-7
67	-7
68	-7
69	-7
70	-7
71	-7
72	-7
73	-7
74	-7
75	-7
76	-7
77	-7
78	-7
79	-7
80	-7
81	-7
82	-7
83	-7
84	-7
85	-7
86	-7
87	-7
88	-7
89	-7
90	-7
91	-7
92	-7
93	-7
94	-7
95	-7
96	-7
97	-7
98	-7
99	-7
100	-7
101	-7
102	-7
103	-7
104	-7
105	-7
106	-7
107	-7
108	-7
109	-7
110	-7
111	-7
112	-7
113	-7
114	-7
115	-7
116	-7
117	-7
118	-7
119	-7
120	-7
121	-7
122	-7
123	-7
124	-7
125	-7
126	-7
127	-7
128	-7
129	-7
130	-7
131	-7
132	-7
133	-7
134	-7
135	-7
136	-7
137	-7
138	-7
139	-7
140	-7
141	-7
142	-7
143	-7
144	-7
145	-7
146	-7
147	-7
148	-7
149	-7
150	-7
151	-7
152	-7
153	-7
154	-7
155	-7
156	-7
157	-7
158	-7
159	-7
160	-7
161	-7
162	-7
163	-7
164	-7
165	-7
166	-7
167	-7
168	-7
169	-7
170	-7
171	-7
172	-7
173	-7
174	-7
175	-7
176	-7
177	-7
178	-7
179	8
180	8
181	3
182	3
183	3
184	3
185	3
186	3
187	3
188	3
189	3
190	3
191	3
192	3
193	3
194	3
195	3
196	3
197	3
198	3
199	3
200	3
201	3
202	3
203	3
204	3
205	3
206	3
207	3
208	3
209	3
210	3
211	3
212	3
213	3
214	3
215	3
216	3
217	3
218	3
219	3
220	3
221	3
222	3
223	3
224	3
225	3
226	3
227	3
228	3
229	3
230	3
231	3
232	3
233	3
234	3
235	3
236	3
237	3
238	3
239	3
240	3
241	3
242	3
243	3
244	3
245	3
246	3
247	3
248	3
249	3
250	3
251	3
252	3
253	3
254	3
255	3
256	3
257	3
258	3
259	3
260	3
261	3
262	3
263	3
264	3
265	3
266	3
267	3
268	3
269	3
270	3
271	3
272	3
273	3
274	3
275	3
276	3
277	3
278	3
279	3
280	3
281	3
282	3
283	3
284	3
285	3
286	3
287	3
288	3
289	3
