i	"RTT(i)=(RTT+RTT_A+RTT_B+RTT_C)~LOGNORMAL(4.8,0.3)"
1	4.000432576
2	20.03759021
3	88.1539937
4	104.6030815
5	160.1546452
6	128.3875541
7	8.616441194
8	32.10836039
9	136.342785
10	32.56656764
11	136.1670693
12	44.45775956
13	180.5659338
14	208.5525539
15	64.25446602
16	12.5657686
17	60.42147866
18	244.4851168
19	208.6156734
20	72.41890017
21	40.38598436
22	168.6474783
23	172.219682
24	184.6098364
25	232.367068
26	172.4865066
27	184.2885192
28	224.1866371
29	128.2091898
30	12.56139774
31	56.39320772
32	236.2209505
33	184.2318876
34	224.3919481
35	128.7273841
36	0.582495014
37	4.48896908
38	20.773886
39	80.59331759
40	72.35038635
41	44.49625707
42	176.4475533
43	192.7321943
44	4.682846615
45	24.68066351
46	108.3820335
47	188.324256
48	240.2025319
49	204.297842
50	48.52288477
51	196.5376534
52	24.57260219
53	96.67988604
54	140.5961843
55	56.5515393
56	236.2444456
57	180.702798
58	216.3901271
59	100.1883929
60	144.2443709
61	72.76859294
62	32.62329001
63	136.2793722
64	44.49484409
65	176.7527861
66	204.5336351
67	56.73533711
68	228.6988094
69	148.5359265
70	88.50459313
71	104.5212675
72	172.1744915
73	184.1893843
74	236.4028863
75	180.3099905
76	220.5088986
77	116.4012886
78	220.3406538
79	124.7513456
80	240.4872772
81	204.4408937
82	52.60958124
83	208.3591527
84	72.63724932
85	32.64208336
86	132.731384
87	20.55665989
88	88.40570815
89	108.3528292
90	188.1934517
91	252.2698937
92	244.3863371
93	212.3011073
94	84.78050622
95	88.68003391
96	100.2686834
97	152.3104307
98	108.1865342
99	184.684034
100	232.6268266
101	172.6692938
102	184.2813089
103	224.305366
104	128.1327017
105	4.445002933
106	20.4920712
107	80.19153027
108	72.10648052
109	40.10415269
110	164.425592
111	148.147057
112	80.36755762
113	72.69055544
114	36.5144901
115	148.2471115
116	80.15697219
117	68.45136699
118	24.16975711
119	108.1617083
120	188.540811
121	252.5035587
122	244.0619376
123	220.1271192
124	120.3467823
125	228.1447002
126	152.4140825
127	96.42436772
128	128.7684284
129	0.572133264
130	0.699290181
131	4.576060798
132	24.16625015
133	100.4304842
134	152.4723253
135	104.294557
136	168.0739448
137	160.2335227
138	128.2010116
139	0.75164948
140	0.589628732
141	0.193652522
142	8.215206366
143	44.15818669
144	184.5673982
145	232.7033881
146	160.5905213
147	128.6865271
148	8.39194658
149	36.59717561
150	152.3476229
151	104.4150253
152	164.5743718
153	152.6039302
154	96.57127877
155	140.4584368
156	56.31579657
157	232.4034893
158	164.1521813
159	152.5542156
160	104.3322486
161	160.5031793
162	136.171122
163	36.30040946
164	156.2410409
165	120.5833856
166	224.6088244
167	128.322445
168	12.05746658
169	60.22529899
170	240.2137214
171	196.408268
172	16.54831811
173	76.3387466
174	60.2014491
175	244.561573
176	212.6691398
177	84.61365516
178	80.37416617
179	64.23396308
180	4.449966834
181	20.25017057
182	88.25452863
183	100.3234618
184	152.5649443
185	108.5456243
186	184.3138167
187	232.6509793
188	164.3325241
189	144.3936519
190	68.64129804
191	16.6023109
192	64.15504882
193	4.623474186
194	16.12126552
195	64.30156683
196	4.331902243
197	28.67479611
198	120.6374239
199	232.5035842
200	164.5864519
201	152.3610398
202	104.4864482
203	168.2955742
204	164.6803744
205	144.7245495
206	64.46650934
207	0.675263992
208	4.728309167
209	16.40417581
210	72.27583321
211	44.3829012
212	180.252628
213	216.5742283
214	108.548935
215	188.2620775
216	248.6508683
217	228.6700724
218	156.6211723
219	120.3236437
220	224.2044379
221	140.5203321
222	60.40124242
223	248.6602342
224	232.5861149
225	164.430731
226	152.1129472
227	108.3850676
228	188.2202155
229	248.6476267
230	228.6954146
231	148.6452988
232	80.22957474
233	68.59532541
234	20.40760541
235	92.39119941
236	116.4713319
237	212.4442481
238	80.77676641
239	72.65657203
240	44.58813957
241	180.2885937
242	220.6137369
243	120.6153619
244	232.4040827
245	164.7330478
246	148.4371818
247	84.16353007
248	92.28900972
249	120.2643023
250	228.0865404
251	144.3325486
252	68.6336553
253	24.46053345
254	100.4974363
255	152.3825126
256	100.1312163
257	148.1739586
258	88.25199054
259	108.1602533
260	180.3481663
261	216.7967606
262	100.7017549
263	144.6549725
264	64.26327687
265	0.33754629
266	12.48948657
267	60.40196423
268	248.0620662
269	236.2175421
270	180.2295503
271	216.5670341
272	100.6413997
273	152.3585322
274	104.2691902
275	164.5433594
276	152.078363
277	96.27364826
278	140.3956011
279	60.47219233
280	240.5658282
281	192.3341787
282	0.366091869
283	12.31601749
284	52.70809439
285	220.3501805
286	116.5299898
287	216.2026607
288	100.0611359
289	152.1784222
290	100.5320171
291	148.1987405
292	88.65745273
293	96.53343056
294	140.5836784
295	52.57165192
296	208.5202261
297	64.18313253
298	4.345625946
299	28.67631388
300	120.2170235
301	232.4342721
302	168.5525379
303	172.6047098
304	184.4844036
305	228.4404633
306	148.7702172
307	80.5494999
308	72.08769654
309	36.36296583
310	152.2111492
311	108.6169903
312	184.5119663
313	232.2959071
314	172.452521
315	184.4312545
316	232.5623756
317	172.1042699
318	184.2762534
319	236.2647295
320	180.2578426
321	216.3256977
322	96.16963756
323	140.3796751
324	56.43363066
325	232.3670958
326	172.6638785
327	176.2193681
328	200.1600154
329	32.31890443
330	128.7422619
331	4.670265868
332	24.3130178
333	96.48049519
334	128.5465974
335	8.615851248
336	36.55603603
337	152.0631993
338	104.1660267
339	164.354422
340	152.3074828
341	108.6556566
342	180.1811587
343	216.4731602
344	96.06133802
345	128.2220045
346	8.325771388
347	36.4688087
348	148.4755026
349	92.37234669
350	120.1099775
351	236.155201
352	176.3701672
353	192.430671
354	0.250832471
355	8.433137994
356	36.62390083
357	152.5125379
358	104.3271043
359	164.3114653
360	152.6288171
361	104.2651165
362	172.1649433
363	184.206168
364	228.3746015
365	144.2345005
366	68.54371305
367	16.24141827
368	64.27979945
369	12.65406402
370	52.71215489
371	220.3185159
372	124.1646203
373	244.5241716
374	220.7548724
375	116.5613305
376	216.4818132
377	100.521086
378	152.4566252
379	100.3052476
380	144.7280073
381	64.45009838
382	4.183800722
383	24.58106038
384	100.3819259
385	152.5944456
386	108.6297134
387	180.4021372
388	208.2741569
389	72.71891711
390	44.39939591
391	184.6499799
392	232.7638579
393	168.7367546
394	164.7725745
395	156.6995926
396	120.2656761
397	224.6263634
398	140.1980039
399	52.54420912
400	208.6318355
401	76.41691091
402	60.24514187
403	240.2693945
404	192.4651464
405	4.332083834
406	28.4379704
407	112.1467789
408	204.5546364
409	52.12307073
410	212.4336846
411	88.55482504
412	100.212334
413	156.5385907
414	120.2368246
415	232.4608698
416	160.1601375
417	140.114294
418	56.33644054
419	224.2361857
420	132.4659906
421	20.21587828
422	80.64781823
423	72.14849207
424	40.45178385
425	160.3316382
426	140.3645387
427	56.14812449
428	228.1005493
429	148.223922
430	80.18423777
431	76.62978029
432	60.17919971
433	248.58591
434	228.53052
435	156.6138342
436	120.4142569
437	236.4492959
438	184.4618283
439	232.5089632
440	160.2485541
441	128.7547668
442	8.746560963
443	36.62833599
444	156.6617385
445	120.6620302
446	228.4691695
447	148.1001858
448	92.09719564
449	120.4007671
450	228.1824191
451	144.3376621
452	68.32134999
453	28.58892184
454	112.2335258
455	192.6339069
456	12.19721163
457	56.34470612
458	236.4126492
459	188.3659488
460	244.1361375
461	212.5750651
462	88.32732912
463	104.6737626
464	164.3382913
465	152.699093
466	108.5278337
467	188.2949755
468	240.1311815
469	204.0680725
470	60.23282394
471	252.2344692
472	244.523521
473	220.1677713
474	124.6231499
475	248.1367854
476	224.1826514
477	140.6845881
478	56.65720662
479	236.3080537
480	180.5345217
481	220.2036008
482	116.3525012
483	220.5037438
484	120.1336271
485	224.5458042
486	132.3274634
487	20.6051173
488	80.62384665
489	72.74806486
490	32.76292609
491	132.5663759
492	16.29404171
493	68.42523249
494	20.27956536
495	84.5888376
496	80.53169594
497	76.4306917
498	52.55951652
499	208.3601396
500	64.10662923
501	4.216269685
502	16.13512116
503	72.17043355
504	44.54851199
505	176.2511299
506	204.3859615
507	60.23344104
508	240.1694861
509	204.5208361
510	60.53789024
511	252.1826462
512	252.1568338
513	244.4540598
514	220.4816994
515	116.5947502
516	212.3019293
517	84.22592102
518	80.2097559
519	76.29146781
520	56.6729791
521	224.6236842
522	128.1585974
523	8.620028257
524	32.28751244
525	132.2880859
526	24.55418069
527	104.521323
528	172.6730567
529	176.3514801
530	196.1495878
531	24.21656762
532	100.3031021
533	152.548563
534	96.14736706
535	132.5486959
536	28.29452693
537	120.5295901
538	232.2438533
539	168.4331805
540	164.7455862
541	152.5638812
542	108.2733128
543	184.5123131
544	232.6034118
545	160.2788036
546	136.7004137
547	36.33775195
548	144.2155051
549	76.48981618
550	52.57471692
551	220.4346565
552	120.6432369
553	232.0867996
554	172.223755
555	180.3239748
556	216.2049067
557	100.440739
558	144.5518356
559	76.17816505
560	60.64308881
561	248.2988192
562	232.3239838
563	168.6290158
564	172.743625
565	180.5827679
566	208.4559512
567	68.52144697
568	20.40203598
569	80.09963438
570	72.33591949
571	36.77268383
572	144.6935271
573	64.76150998
574	0.595746412
575	12.42380906
576	52.21537796
577	216.6507017
578	100.499413
579	152.0807446
580	100.1014753
581	156.3264914
582	120.6941609
583	236.4497209
584	188.3071284
585	240.6487434
586	200.4213824
587	36.3652582
588	152.5484658
589	104.4138954
590	168.1228339
591	164.3287791
592	148.1390377
593	84.18619665
594	80.45061366
595	76.20945057
596	60.75275813
