i	DJIA_DAY(i)=(high(i)-low(i))*vol(i) [$ in billions]
1	6.809316
2	9.7507014
3	12.1169054
4	5.1066438
5	7.4784171
6	6.7721013
7	12.7122219
8	7.5652032
9	16.268356
10	11.0361264
11	14.8110666
12	10.3247268
13	10.0782552
14	7.11018
15	10.5593253
16	10.1582385
17	8.2186929
18	13.968437
19	8.8913208
20	8.330115
21	8.0633094
22	11.0063268
23	12.353408
24	31.1936422
25	11.2627182
26	11.723893
27	12.1677038
28	10.054742
29	5.8471921
30	11.6897788
31	10.2860472
32	12.3593729
33	18.7490208
34	12.4663767
35	14.7211222
36	10.5903564
37	12.608268
38	11.411694
39	12.389664
40	11.9840595
41	10.5865056
42	9.194791
43	10.2580236
44	12.7464164
45	12.2949588
46	12.211041
47	12.340396
48	9.7968834
49	9.5506164
50	12.3537435
51	13.3024624
52	11.3457816
53	7.8447328
54	8.718375
55	8.3679552
56	10.987665
57	8.920773
58	13.3655676
59	10.343607
60	16.5731024
61	8.710338
62	4.8107338
63	12.936678
64	13.8549798
65	11.0433276
66	11.96955
67	11.6115546
68	10.055563
69	10.128789
70	11.3702112
71	12.1535964
72	7.242378
73	8.3295189
74	11.960346
75	15.554813
76	14.7737037
77	23.7602524
78	12.200124
79	15.1100284
80	13.1179692
81	3.4486404
82	7.885992
83	14.7767256
84	7.6508307
85	7.6202463
86	10.573056
87	14.1659895
88	15.20601514
89	25.2242794
90	15.3974106
91	11.9671365
92	13.7018475
93	14.0984508
94	18.5345238
95	18.7755662
96	10.1654826
97	16.97810766
98	12.731037
99	13.001322
100	19.64774893
101	23.3432092
102	18.51258705
103	16.2307056
104	14.637904
105	10.8783204
106	10.36431
107	14.91106411
108	25.7240018
109	25.743464
110	22.9775264
111	15.3896105
112	12.688281
113	14.6329872
114	15.090966
115	12.53076
116	34.36997569
117	18.5442144
118	31.11178339
119	23.71292
120	21.88046352
121	24.63416527
122	17.9274318
123	15.2280696
124	14.0449168
125	15.8633515
126	19.4518296
127	18.53750211
128	11.8482452
129	18.4260128
130	20.770464
131	15.0485244
132	16.4776183
133	14.1581584
134	15.2742234
135	9.1624095
136	9.3515035
137	11.759304
138	14.2273884
139	13.81213815
140	12.404331
141	11.715588
142	19.4710482
143	13.9822368
144	12.1945845
145	11.1238785
146	13.8691352
147	16.53432966
148	10.7787165
149	30.57408329
150	17.4724886
151	22.533992
152	18.41145961
153	20.29829535
154	15.9893799
155	17.50242352
156	14.9463072
157	16.896045
158	18.6330696
159	15.3384228
160	27.49023688
161	22.820239
162	27.41985401
163	16.2147421
164	20.4361624
165	19.804558
166	19.6938502
167	16.73392
168	15.0430934
169	13.3664472
170	14.2794582
171	15.6018768
172	14.4948004
173	12.251636
174	15.324479
175	13.1830832
176	15.4993216
177	16.768401
178	13.0198068
179	10.1409648
180	15.509124
181	36.2999442
182	18.6479284
183	18.0004488
184	10.7409575
185	10.6358901
186	16.54703917
187	17.73274856
188	12.4255578
189	13.6045387
190	13.1127704
191	15.26583255
192	10.52946
193	14.0997043
194	11.7346359
195	12.6133695
196	17.7041464
197	14.480048
198	10.8334512
199	14.1917482
200	17.79027
201	12.2135233
202	18.46272
203	12.2582565
204	14.5829907
205	19.0246362
206	14.8782435
207	8.3288194
208	13.4021024
209	14.76324415
210	14.1600144
211	16.0067124
212	9.531985
213	13.8278008
214	13.1749668
215	19.81218842
216	12.4990594
217	10.3036483
218	12.5674648
219	15.73824362
220	17.54647859
221	17.277777
222	13.0600932
223	18.53000442
224	15.87963091
225	13.1155602
226	13.596804
227	9.6702568
228	18.296005
229	17.31391898
230	16.2073296
231	16.6365238
232	12.2976844
233	14.5825966
234	11.4421896
235	12.627297
236	10.4449145
237	13.65777
238	13.4940112
239	15.2974933
240	19.61408147
241	10.0625278
242	13.4488692
243	14.9710228
244	19.2395512
245	15.00089538
246	14.620576
247	10.98625
248	15.508403
249	16.1860024
250	15.234744
251	9.7560036
252	8.8992694
253	10.9525956
254	11.2301832
255	12.9986974
256	9.4203048
257	12.955275
258	17.563524
259	15.3603264
260	16.06742495
261	11.636075
262	12.646518
263	20.89722066
264	11.360962
265	20.86392
266	14.7838332
267	27.488514
268	17.5225344
269	15.0005052
270	15.0550928
271	12.2508984
272	11.4895704
273	15.98661238
274	15.5676644
275	16.2932641
276	12.0516252
277	18.60504019
278	14.01420141
279	13.1228982
280	14.6348872
281	8.3443045
282	11.6542755
283	15.77422373
284	27.4882758
285	25.0638917
286	26.33923312
287	20.753992
288	17.08389719
289	19.6137662
290	25.8605376
291	19.7132763
292	18.60541565
293	16.10981402
294	16.7508442
295	15.04639681
296	13.1650626
297	20.953625
298	26.09957312
299	23.40986456
300	26.268093
301	12.1420884
302	18.58698803
303	18.93162443
304	17.80943429
305	19.1437632
306	13.1163175
307	21.3211572
308	28.6677276
309	22.6896824
310	21.50480946
311	19.64831708
312	13.890429
313	12.8253343
314	3.8325456
315	18.36429248
316	17.03477156
317	17.16200893
318	13.1081981
319	13.2186004
320	14.95180098
321	16.44431548
322	19.7701002
323	15.66968843
324	13.2462866
325	17.7835598
326	16.29396105
327	28.73791601
328	17.7346722
329	22.770751
330	12.585162
331	15.04901762
332	14.9242632
333	11.87329
334	9.328688
335	9.4913408
336	14.68886843
337	9.0839868
338	9.9400664
339	20.3847644
340	25.918976
341	28.37012873
342	26.6050816
343	20.5739344
344	22.30040088
345	18.9984221
346	20.72302193
347	15.6469304
348	18.70318038
349	14.7500992
350	19.95900017
351	21.99206197
352	17.90985958
353	20.0703734
354	19.467733
355	24.0448276
356	21.6064872
357	25.838505
358	16.392879
359	21.17058695
360	19.33125036
361	19.9053696
362	19.9764635
363	46.2115494
364	28.81237842
365	24.7130406
366	23.03074521
367	23.11366637
368	13.8952374
369	16.3677861
370	18.13128995
371	17.29268756
372	27.74984961
373	18.2347289
374	15.018696
375	18.13903324
376	24.6093744
377	15.6353384
378	15.1386977
379	22.95857329
380	37.39862114
381	22.5947844
382	21.06234792
383	16.4751102
384	17.61830195
385	17.52595079
386	23.59535458
387	20.05695394
388	15.15432
389	20.2857086
390	18.2834038
391	21.17923711
392	33.8036112
393	14.744444
394	15.73131041
395	17.534206
396	22.128792
397	20.2707073
398	21.1813056
399	24.92368822
400	41.5981904
401	52.0537484
402	38.668111
403	26.83066453
404	23.91236
405	20.3190272
406	19.3102608
407	16.8548058
408	15.6235625
409	24.3137249
410	18.65931551
411	21.08345159
412	23.41527562
413	33.3657288
414	42.5223054
415	34.4747352
416	20.49566121
417	22.5404312
418	18.25465061
419	27.180216
420	19.32558675
421	25.19177774
422	19.12095016
423	16.0978352
424	14.2214778
425	22.40117463
426	16.1911498
427	16.9993626
428	19.060154
429	15.82065907
430	16.1198765
431	15.4161292
432	25.3195152
433	26.6606224
434	22.836736
435	19.7534456
436	14.7763575
437	22.1763676
438	14.603134
439	15.9351594
440	9.041855
441	12.533928
442	18.86033688
443	15.93548644
444	16.20795204
445	16.3427664
446	12.9965784
447	15.20128
448	14.0039406
449	13.1441184
450	16.2464171
451	20.40337163
452	17.8756698
453	15.1118352
454	21.429426
455	12.5914672
456	24.53170629
457	13.6151842
458	17.158512
459	23.030069
460	22.7525067
461	19.9702468
462	17.4299345
463	21.42297357
464	12.8871925
465	11.3733276
466	15.6585528
467	15.06538
468	16.0029432
469	14.267378
470	16.249945
471	14.4563792
472	21.13269856
473	15.7185028
474	12.3726372
475	12.8657595
476	15.4298562
477	22.8815472
478	15.1327764
479	10.4365483
480	13.5600076
481	15.075632
482	13.7049216
483	15.1843148
484	15.5475996
485	15.5534298
486	14.7937408
487	15.81939738
488	10.2884636
489	10.4285697
