i	Date	DJIA_DAY(i)=(high(i)-low(i))*vol(i) [$ in billions]
1	09/01/92	6.809316
2	09/02/92	9.7507014
3	09/03/92	12.1169054
4	09/04/92	5.1066438
5	09/08/92	7.4784171
6	09/09/92	6.7721013
7	09/10/92	12.7122219
8	09/11/92	7.5652032
9	09/14/92	16.268356
10	09/15/92	11.0361264
11	09/16/92	14.8110666
12	09/17/92	10.3247268
13	09/18/92	10.0782552
14	09/21/92	7.11018
15	09/22/92	10.5593253
16	09/23/92	10.1582385
17	09/24/92	8.2186929
18	09/25/92	13.968437
19	09/28/92	8.8913208
20	09/29/92	8.330115
21	09/30/92	8.0633094
22	10/01/92	11.0063268
23	10/02/92	12.353408
24	10/05/92	31.1936422
25	10/06/92	11.2627182
26	10/07/92	11.723893
27	10/08/92	12.1677038
28	10/09/92	10.054742
29	10/12/92	5.8471921
30	10/13/92	11.6897788
31	10/14/92	10.2860472
32	10/15/92	12.3593729
33	10/16/92	18.7490208
34	10/19/92	12.4663767
35	10/20/92	14.7211222
36	10/21/92	10.5903564
37	10/22/92	12.608268
38	10/23/92	11.411694
39	10/26/92	12.389664
40	10/27/92	11.9840595
41	10/28/92	10.5865056
42	10/29/92	9.194791
43	10/30/92	10.2580236
44	11/02/92	12.7464164
45	11/03/92	12.2949588
46	11/04/92	12.211041
47	11/05/92	12.340396
48	11/06/92	9.7968834
49	11/09/92	9.5506164
50	11/10/92	12.3537435
51	11/11/92	13.3024624
52	11/12/92	11.3457816
53	11/13/92	7.8447328
54	11/16/92	8.718375
55	11/17/92	8.3679552
56	11/18/92	10.987665
57	11/19/92	8.920773
58	11/20/92	13.3655676
59	11/23/92	10.343607
60	11/24/92	16.5731024
61	11/25/92	8.710338
62	11/27/92	4.8107338
63	11/30/92	12.936678
64	12/01/92	13.8549798
65	12/02/92	11.0433276
66	12/03/92	11.96955
67	12/04/92	11.6115546
68	12/07/92	10.055563
69	12/08/92	10.128789
70	12/09/92	11.3702112
71	12/10/92	12.1535964
72	12/11/92	7.242378
73	12/14/92	8.3295189
74	12/15/92	11.960346
75	12/16/92	15.554813
76	12/17/92	14.7737037
77	12/18/92	23.7602524
78	12/21/92	12.200124
79	12/22/92	15.1100284
80	12/23/92	13.1179692
81	12/24/92	3.4486404
82	12/28/92	7.885992
83	12/29/92	14.7767256
84	12/30/92	7.6508307
85	12/31/92	7.6202463
86	01/04/93	10.573056
87	01/05/93	14.1659895
88	01/06/93	15.20601514
89	01/07/93	25.2242794
90	01/08/93	15.3974106
91	01/11/93	11.9671365
92	01/12/93	13.7018475
93	01/13/93	14.0984508
94	01/14/93	18.5345238
95	01/15/93	18.7755662
96	01/18/93	10.1654826
97	01/19/93	16.97810766
98	01/20/93	12.731037
99	01/21/93	13.001322
100	01/22/93	19.64774893
101	01/25/93	23.3432092
102	01/26/93	18.51258705
103	01/27/93	16.2307056
104	01/28/93	14.637904
105	01/29/93	10.8783204
106	02/01/93	10.36431
107	02/02/93	14.91106411
108	02/03/93	25.7240018
109	02/04/93	25.743464
110	02/05/93	22.9775264
111	02/08/93	15.3896105
112	02/09/93	12.688281
113	02/10/93	14.6329872
114	02/11/93	15.090966
115	02/12/93	12.53076
116	02/16/93	34.36997569
117	02/17/93	18.5442144
118	02/18/93	31.11178339
119	02/19/93	23.71292
120	02/22/93	21.88046352
121	02/23/93	24.63416527
122	02/24/93	17.9274318
