i	DJIA-MINS
1	12172.98
2	12177.38
3	12174.74
4	12172.42
5	12174.9
6	12179.07
7	12180.83
8	12181.07
9	12178.03
10	12178.19
11	12178.67
12	12180.19
13	12181.63
14	12191.56
15	12187.56
16	12190.76
17	12184.6
18	12179.55
19	12177.38
20	12180.43
21	12183.23
22	12182.51
23	12180.83
24	12187.16
25	12186.84
26	12187.48
27	12185
28	12183.63
29	12184.27
30	12185
31	12182.11
32	12185.16
33	12192.61
34	12193.33
35	12199.34
36	12215.6
37	12210.87
38	12211.99
39	12211.99
40	12211.75
41	12217.04
42	12230.02
43	12229.46
44	12224.41
45	12222.57
46	12221.29
47	12213.68
48	12214.56
49	12213.2
50	12217.6
51	12215.68
52	12215.36
53	12214.24
54	12205.02
55	12199.02
56	12201.42
57	12199.74
58	12198.53
59	12200.54
60	12203.1
61	12198.69
62	12196.93
63	12194.77
64	12201.5
65	12203.58
66	12205.02
67	12211.59
68	12219.44
69	12235.79
70	12244.76
71	12248.2
72	12243.24
73	12247.88
74	12252.37
75	12248.68
76	12243.64
77	12244.6
78	12253.17
79	12249.09
80	12247.48
81	12243.8
82	12247.72
83	12256.22
84	12258.22
85	12258.54
86	12257.02
87	12259.66
88	12259.98
89	12261.1
90	12274.4
91	12268.95
92	12268.95
93	12256.54
94	12253.41
95	12238.75
96	12238.67
97	12237.55
98	12230.82
99	12227.37
100	12222.01
101	12221.93
102	12232.26
103	12243.8
104	12237.79
105	12231.06
106	12238.67
107	12237.15
108	12233.3
109	12215.44
110	12199.02
111	12196.21
112	12176.18
113	12182.43
114	12183.87
115	12181.31
116	12182.75
117	12170.42
118	12169.93
119	12142.94
120	12140.93
121	12128.76
122	12132.04
123	12145.58
124	12140.69
125	12143.1
126	12146.78
127	12146.62
128	12155.11
129	12159.76
130	12157.52
131	12155.99
132	12154.39
133	12159.12
134	12157.44
135	12156.88
136	12155.75
137	12148.22
138	12154.15
139	12156.88
140	12157.92
141	12157.84
142	12166.97
143	12178.19
144	12184.76
145	12183.15
146	12183.71
147	12206.31
148	12203.26
149	12199.02
150	12178.75
151	12178.91
152	12183.23
153	12180.43
154	12181.63
155	12173.3
156	12168.33
157	12167.37
158	12172.9
159	12170.01
160	12176.5
161	12180.99
162	12176.74
163	12170.34
164	12169.77
165	12168.89
166	12167.53
167	12167.29
168	12169.53
169	12169.93
170	12169.77
171	12165.29
172	12169.85
173	12171.86
174	12167.05
175	12152.39
176	12150.63
177	12140.77
178	12140.05
179	12136.85
180	12151.35
181	12151.59
182	12150.31
183	12153.19
184	12152.79
185	12158.96
186	12148.7
187	12147.82
188	12142.54
189	12137.73
190	12137.17
191	12139.33
192	12142.7
193	12144.38
194	12144.62
195	12134.77
196	12135.97
197	12137.41
198	12150.15
199	12149.59
200	12142.46
201	12138.13
202	12124.91
203	12131.56
204	12137.49
205	12126.43
206	12125.95
207	12121.39
208	12125.95
209	12121.39
210	12128.76
211	12120.1
212	12122.19
213	12125.95
214	12119.22
215	12111.53
216	12105.12
217	12102.08
218	12095.43
219	12097.03
220	12103.92
221	12098.71
222	12102.48
223	12104.8
224	12108.01
225	12107.61
226	12112.33
227	12111.21
228	12119.7
229	12122.27
230	12132.84
231	12132.12
232	12127.31
233	12125.87
234	12134.12
235	12135.09
236	12146.22
237	12147.58
238	12148.78
239	12139.57
240	12138.21
241	12145.1
242	12149.03
243	12160.32
244	12157.2
245	12167.85
246	12175.46
247	12175.7
248	12184.68
249	12177.47
250	12179.79
251	12180.03
252	12193.57
253	12193.81
254	12194.13
255	12233.86
256	12212.15
257	12217.92
258	12235.55
259	12227.21
260	12226.89
261	12226.49
262	12222.25
263	12228.34
264	12230.58
265	12228.26
266	12229.7
267	12245.64
268	12242.36
269	12244.36
270	12239.63
271	12237.07
272	12239.79
273	12234.34
274	12232.66
275	12244.92
276	12241.55
277	12240.67
278	12235.87
279	12226.73
280	12222.57
281	12225.13
282	12225.69
283	12225.29
284	12224.57
285	12226.25
286	12228.98
287	12235.55
288	12234.91
289	12236.99
290	12238.99
291	12241.31
292	12245.8
293	12252.13
294	12257.34
295	12266.31
296	12261.1
297	12263.91
298	12265.91
299	12265.27
300	12263.67
301	12261.74
302	12260.78
303	12261.18
304	12260.7
305	12255.57
306	12252.69
307	12250.93
308	12250.85
309	12252.05
310	12258.14
311	12258.54
312	12257.02
313	12256.54
314	12258.54
315	12256.06
316	12255.17
317	12257.02
318	12258.06
319	12257.02
320	12262.14
321	12256.14
322	12256.38
323	12254.05
324	12251.49
325	12259.5
326	12260.7
327	12261.42
328	12259.02
329	12261.74
330	12262.14
331	12261.26
332	12259.82
333	12259.58
334	12258.54
335	12260.62
336	12264.23
337	12266.15
338	12269.91
339	12274.08
340	12272.8
341	12269.11
342	12267.67
343	12273.68
344	12273.76
345	12277.69
346	12282.41
347	12291.22
348	12296.75
349	12303.24
350	12303.24
351	12299.32
352	12296.59
353	12298.92
354	12298.43
355	12298.27
356	12300.36
357	12300.12
358	12296.99
359	12289.22
360	12290.98
361	12294.03
362	12293.07
363	12291.22
364	12294.59
365	12291.87
366	12296.11
367	12295.39
368	12306.85
369	12307.89
370	12292.75
371	12288.74
372	12284.9
373	12287.78
374	12278.89
375	12280.25
376	12273.68
377	12272.88
378	12277.77
379	12279.77
380	12282.41
381	12288.1
382	12285.14
383	12278.41
384	12272.4
385	12274.4
386	12272
