i	RTT-Clipped(i)
1	-54.06775861
2	57.47260697
3	-71.47260697
4	65.84277235
5	-79.84277235
6	74.88192277
7	-88.88192277
8	65.87606949
9	-79.87606949
10	12.8815901
11	-26.8815901
12	49.46801698
13	-63.46801698
14	51.98630699
15	-65.98630699
16	69.47255244
17	-83.47255244
18	7.921871407
19	-21.92187141
20	28.74070577
21	-42.74070577
22	86.72636746
23	-100.7263675
24	72.05694001
25	-86.05694001
26	49.51195776
27	-63.51195776
28	52.48198385
29	-66.48198385
30	11.60774221
31	-25.60774221
32	36.23324852
33	-50.23324852
34	-4.617887201
35	-9.382112799
36	88.6541761
37	-102.6541761
38	28.8153975
39	-42.8153975
40	50.63118523
41	-64.63118523
42	53.77317228
43	-67.77317228
44	40.64686941
45	-54.64686941
46	16.0123365
47	-30.0123365
48	43.93012395
49	-57.93012395
50	87.70531004
51	-101.70531
52	64.7251603
53	-78.7251603
54	23.35713152
55	-37.35713152
56	53.68435649
57	-67.68435649
58	30.76362136
59	-44.76362136
60	76.66228274
61	-90.66228274
62	79.70256369
63	-93.70256369
64	54.13983574
65	-68.13983574
66	43.66377571
67	-57.66377571
68	77.01190719
69	-91.01190719
70	43.98283243
71	-57.98283243
72	26.53787285
73	-40.53787285
74	74.83873974
75	-88.83873974
76	-1.946606718
77	-12.05339328
78	5.582064058
79	-19.58206406
80	12.98327897
81	-26.98327897
82	23.20351706
83	-37.20351706
84	54.9460227
85	-68.9460227
86	8.14333101
87	-22.14333101
88	1.35326187
89	-15.35326187
90	29.32830492
91	-43.32830492
92	50.96921528
93	-64.96921528
94	54.01676098
95	-68.01676098
96	69.98120107
97	-83.98120107
98	71.47591767
99	-85.47591767
100	60.02573203
101	-74.02573203
102	25.94579683
103	-39.94579683
104	55.54634127
105	-69.54634127
106	-6.648816549
107	-7.351183451
108	-2.066245477
109	-11.93375452
110	72.74680494
111	-86.74680494
112	0.550074924
113	-14.55007492
114	83.06431742
115	-97.06431742
116	41.97234831
117	-55.97234831
118	44.7240866
119	-58.7240866
120	31.91441214
121	-45.91441214
122	35.34320018
123	-49.34320018
124	39.39160687
125	-53.39160687
126	61.025922
127	-75.025922
128	24.09975624
129	-38.09975624
130	32.79517803
131	-46.79517803
132	28.89306042
133	-42.89306042
134	72.50056847
135	-86.50056847
136	31.16866135
137	-45.16866135
138	32.48935406
139	-46.48935406
140	21.81638448
141	-35.81638448
142	34.20042464
143	-48.20042464
144	31.70880875
145	-45.70880875
146	25.21481306
147	-39.21481306
148	50.24631845
149	-64.24631845
150	61.18824311
151	-75.18824311
152	85.8524063
153	-99.8524063
154	18.8447965
155	-32.8447965
156	80.90082768
157	-94.90082768
158	45.98068837
159	-59.98068837
160	58.79906873
161	-72.79906873
162	43.57771858
163	-57.57771858
164	4.529867965
165	-18.52986796
166	70.01727852
167	-84.01727852
168	73.8733395
169	-87.8733395
170	83.80693225
171	-97.80693225
172	25.87344516
173	-39.87344516
174	78.44015594
175	-78.44015594
176	66.86448762
177	-52.86448762
178	3.653557133
179	2.346442867
180	66.14642419
181	-60.14642419
182	71.60360356
183	-65.60360356
184	94.17314081
185	-88.17314081
186	40.01783668
187	-34.01783668
188	71.07840918
189	-65.07840918
190	79.78009017
191	-73.78009017
192	80.77178811
193	-74.77178811
194	69.30836886
195	-63.30836886
196	33.12456145
197	-27.12456145
198	3.089325618
199	2.910674382
200	37.13553495
201	-31.13553495
202	95.33660467
203	-89.33660467
204	3.433993773
205	2.566006227
206	35.49948615
207	-29.49948615
208	35.04361854
209	-29.04361854
210	63.7568085
211	-57.7568085
212	33.74806282
213	-27.74806282
214	27.07255212
215	-21.07255212
216	59.77929042
217	-53.77929042
218	33.31191966
219	-27.31191966
220	15.65779894
221	-9.657798942
222	75.67036881
223	-69.67036881
224	98.5535477
225	-92.5535477
226	4.486408824
227	1.513591176
228	89.25315771
229	-83.25315771
230	70.69180531
231	-64.69180531
232	25.13035905
233	-19.13035905
234	5.373380201
235	0.626619799
236	73.92361034
237	-67.92361034
238	23.51129753
239	-17.51129753
240	69.90740104
241	-63.90740104
242	9.385957606
243	-3.385957606
244	49.72142194
245	-43.72142194
246	10.01338795
247	-4.013387948
248	73.77682829
249	-67.77682829
250	8.272128676
251	-2.272128676
252	22.56067449
253	-16.56067449
254	27.56068902
255	-21.56068902
256	46.63118886
257	-40.63118886
258	88.05771811
259	-82.05771811
260	15.95778306
261	-9.957783062
262	82.20266783
263	-76.20266783
264	60.60295028
265	-54.60295028
266	35.04214022
267	-29.04214022
268	20.61143746
269	-14.61143746
270	36.42193445
271	-30.42193445
272	70.56283692
273	-64.56283692
274	19.5889399
275	-13.5889399
276	43.67550942
277	-37.67550942
278	78.30184099
279	-72.30184099
280	80.11084054
281	-74.11084054
282	17.42343491
283	-11.42343491
284	34.08547855
285	-28.08547855
286	18.11763787
287	-12.11763787
288	29.72687646
289	-23.72687646
290	7.504878526
291	-1.504878526
292	88.69634137
293	-82.69634137
294	46.5899646
295	-40.5899646
296	53.92050743
297	-47.92050743
298	79.24554131
299	-73.24554131
300	12.46548974
301	-6.465489738
302	64.98228955
303	-58.98228955
304	3.775417621
305	2.224582379
306	57.79354304
307	-51.79354304
308	62.12301706
309	-56.12301706
310	65.6449851
311	-59.6449851
312	25.22402364
313	-19.22402364
314	11.71700257
315	-5.717002568
316	22.88510734
317	-16.88510734
318	46.57315628
319	-40.57315628
320	97.91121294
321	-91.91121294
322	44.60351005
323	-38.60351005
324	69.15899741
325	-63.15899741
326	64.79376235
327	-58.79376235
328	66.78028167
329	-60.78028167
330	87.34420833
331	-81.34420833
332	81.34194898
333	-75.34194898
334	80.62736961
335	-74.62736961
336	91.5203561
337	-85.5203561
338	83.08988923
339	-77.08988923
340	11.85059393
341	-5.850593933
342	93.14814312
343	-87.14814312
344	72.90443581
345	-66.90443581
346	24.77036828
347	-18.77036828
348	57.05647644
349	-55.05647644
350	-2.88652782
351	-19.11347218
352	13.98070073
353	-35.98070073
354	55.63905496
355	-77.63905496
356	-5.657959072
357	-16.34204093
358	71.16690486
359	-93.16690486
360	64.93374083
361	-86.93374083
362	29.80641277
363	-51.80641277
364	39.55792966
365	-61.55792966
366	31.76682015
367	-53.76682015
368	58.62890425
369	-80.62890425
370	15.11961566
371	-37.11961566
372	54.70148895
373	-76.70148895
374	70.24460338
375	-92.24460338
376	84.58959103
377	-106.589591
378	33.09141061
379	-55.09141061
380	17.62119301
381	-39.62119301
382	58.137554
383	-80.137554
384	0.70111464
385	-22.70111464
386	-0.374522589
387	-21.62547741
388	15.87136645
389	-37.87136645
390	39.08600099
391	-61.08600099
392	13.54568605
393	-35.54568605
394	41.66294639
395	-63.66294639
396	14.56892835
397	-36.56892835
398	-9.616561296
399	-12.3834387
400	36.35205999
401	-58.35205999
402	79.0562896
403	-101.0562896
404	22.82741131
405	-44.82741131
406	69.29240408
407	-91.29240408
408	83.81691816
409	-105.8169182
410	55.57885902
411	-77.57885902
412	55.99745145
413	-77.99745145
414	35.7609799
415	-57.7609799
416	47.83336111
417	-69.83336111
418	35.23574645
419	-57.23574645
420	34.02476843
421	-56.02476843
422	-3.608960194
423	-18.39103981
424	81.92712709
425	-103.9271271
426	50.40933227
427	-72.40933227
428	84.00892034
429	-106.0089203
430	86.18352215
431	-108.1835222
432	87.31554544
433	-109.3155454
434	39.86186336
435	-61.86186336
436	64.74812748
437	-86.74812748
438	14.91160095
439	-36.91160095
440	0.76276582
441	-22.76276582
442	-0.784064732
443	-21.21593527
444	56.36569685
445	-78.36569685
446	15.05653575
447	-37.05653575
448	66.1330243
449	-88.1330243
450	70.51096703
451	-92.51096703
452	49.90533302
453	-71.90533302
454	83.73577218
455	-105.7357722
456	29.28036529
457	-51.28036529
458	31.30027585
459	-53.30027585
460	35.86336796
461	-57.86336796
462	19.20611283
463	-41.20611283
464	25.24375224
465	-47.24375224
466	47.08276717
467	-69.08276717
468	30.75402201
469	-52.75402201
470	86.33920481
471	-108.3392048
472	56.41573153
473	-78.41573153
474	42.65285471
475	-64.65285471
476	70.10778888
477	-92.10778888
478	76.90473075
479	-98.90473075
480	-10.36012085
481	-11.63987915
482	45.56815843
483	-67.56815843
484	51.83206076
485	-73.83206076
486	73.49846094
487	-95.49846094
488	3.895542594
489	-25.89554259
490	16.37737291
491	-38.37737291
492	2.228753622
493	-24.22875362
494	84.27685023
495	-106.2768502
496	75.5260449
497	-97.5260449
498	27.56733699
499	-49.56733699
500	82.96645295
501	-104.966453
502	53.67970686
503	-75.67970686
504	44.7561864
505	-66.7561864
506	47.74749194
507	-69.74749194
508	75.67062223
509	-97.67062223
510	69.33739121
511	-91.33739121
512	85.40932511
513	-107.4093251
514	-10.46560776
515	-11.53439224
516	48.1852122
517	-70.1852122
