i____	mapcode
1	     -12.875
2	     -13.125
3	     -13.000
4	     -13.000
5	     -13.000
6	     -13.000
7	     -12.500
8	     -13.500
9	     -12.625
10	     -13.375
11	     -12.875
12	     -13.125
13	     -12.625
14	     -13.375
15	     -12.625
16	     -13.375
17	     -12.625
18	     -13.375
19	     -12.625
20	     -13.375
21	     -12.250
22	     -13.750
23	     -12.625
24	     -13.375
25	     -13.000
26	     -13.000
27	     -12.750
28	     -13.250
29	     -12.625
30	     -13.375
31	     -12.125
32	     -13.875
33	     -12.250
34	     -13.750
35	     -12.500
36	     -13.500
37	     -12.250
38	     -13.750
39	     -13.000
40	     -13.000
41	     -12.375
42	     -13.625
43	     -12.250
44	     -13.750
45	     -12.750
46	     -13.250
47	     -13.000
48	     -13.000
49	     -12.125
50	     -13.875
51	     -12.625
52	     -13.375
53	     -12.750
54	     -13.250
55	     -12.375
56	     -13.625
57	     -12.625
58	     -13.375
59	     -12.500
60	     -13.500
61	     -12.500
62	     -13.500
63	     -12.250
64	     -13.750
65	     -12.625
66	     -13.375
67	     -12.750
68	     -13.250
69	     -12.125
70	     -13.875
71	     -12.250
72	     -13.750
73	     -12.625
74	     -13.375
75	     -12.625
76	     -13.375
77	     -13.000
78	     -13.000
79	     -12.500
80	     -13.500
81	     -12.875
82	     -13.125
83	     -12.625
84	     -13.375
85	     -12.500
86	     -13.500
87	     -12.500
88	     -13.500
89	     -12.750
90	     -13.250
91	     -12.500
92	     -13.500
93	     -12.375
94	     -13.625
95	     -12.375
96	     -13.625
97	     -12.875
98	     -13.125
99	     -12.125
100	     -13.875
101	      11.875
102	      10.125
103	     -11.000
104	     -11.000
105	     -10.625
106	     -11.375
107	     -10.625
108	     -11.375
109	     -11.000
110	     -11.000
111	     -10.125
112	     -11.875
113	     -10.750
114	     -11.250
115	     -11.000
116	     -11.000
117	     -10.375
118	     -11.625
119	     -10.125
120	     -11.875
121	     -10.500
122	     -11.500
123	     -10.750
124	     -11.250
125	     -10.250
126	     -11.750
127	     -11.000
128	     -11.000
129	     -10.875
130	     -11.125
131	     -10.875
132	     -11.125
133	     -10.500
134	     -11.500
135	     -10.375
136	     -11.625
137	     -10.750
138	     -11.250
139	     -10.375
140	     -11.625
141	     -10.125
142	     -11.875
143	     -10.625
144	     -11.375
145	     -10.500
146	     -11.500
147	     -10.375
148	     -11.625
149	     -11.000
150	     -11.000
151	     -10.125
152	     -11.875
153	     -10.375
154	     -11.625
155	     -10.500
156	     -11.500
157	     -10.750
158	     -11.250
159	     -10.750
160	     -11.250
161	     -10.125
162	     -11.875
163	     -10.375
164	     -11.625
165	     -10.375
166	     -11.625
167	     -10.875
168	     -11.125
169	     -10.500
170	     -11.500
171	     -11.000
172	     -11.000
173	     -10.750
174	     -11.250
175	     -10.125
176	     -11.875
177	     -10.750
178	     -11.250
179	     -10.250
180	     -11.750
181	     -10.500
182	     -11.500
183	     -10.875
184	     -11.125
185	     -11.000
186	     -11.000
187	     -11.000
188	     -11.000
189	     -10.875
190	     -11.125
191	     -10.250
192	     -11.750
193	     -11.000
194	     -11.000
195	     -10.750
196	     -11.250
197	     -10.125
198	     -11.875
199	     -10.875
200	     -11.125
201	     -10.375
202	     -11.625
203	     -10.750
204	     -11.250
205	     -10.125
206	     -11.875
207	     -11.000
208	     -11.000
209	     -10.750
210	     -11.250
211	     -10.125
212	     -11.875
213	     -10.500
214	     -11.500
215	     -10.125
216	     -11.875
217	     -10.125
218	     -11.875
219	       9.250
220	       8.750
221	     -11.625
222	     -12.375
223	     -11.375
224	     -12.625
225	     -11.375
226	     -12.625
227	     -12.000
228	     -12.000
229	     -11.875
230	     -12.125
231	     -11.750
232	     -12.250
233	     -11.500
234	     -12.500
235	     -11.750
236	     -12.250
237	     -11.500
238	     -12.500
239	     -11.750
240	     -12.250
241	     -11.250
242	     -12.750
243	     -11.125
244	     -12.875
245	     -11.375
246	     -12.625
247	     -11.125
248	     -12.875
249	     -11.875
250	     -12.125
251	     -11.375
252	     -12.625
253	     -11.125
254	     -12.875
255	     -11.750
256	     -12.250
257	     -11.500
258	     -12.500
259	     -11.125
260	     -12.875
261	     -11.625
262	     -12.375
263	     -11.500
264	     -12.500
265	     -11.375
266	     -12.625
267	     -12.000
268	     -12.000
269	     -11.125
270	     -12.875
271	     -11.875
272	     -12.125
273	     -11.625
274	     -12.375
275	     -11.125
276	     -12.875
277	     -11.250
278	     -12.750
279	     -12.000
280	     -12.000
281	     -11.500
282	     -12.500
283	     -11.750
284	     -12.250
285	     -11.125
286	     -12.875
287	     -11.125
288	     -12.875
289	     -11.125
290	     -12.875
291	     -11.750
292	     -12.250
293	     -11.375
294	     -12.625
295	     -11.750
296	     -12.250
297	     -11.500
298	     -12.500
299	     -11.875
300	     -12.125
301	     -11.750
302	     -12.250
303	     -11.125
304	     -12.875
305	     -11.750
306	     -12.250
307	     -11.125
308	     -12.875
309	     -11.125
310	     -12.875
311	     -11.500
312	     -12.500
313	     -11.625
314	     -12.375
315	     -11.250
316	     -12.750
317	     -11.375
318	     -12.625
319	     -11.250
320	     -12.750
321	     -11.250
322	     -12.750
323	     -12.000
324	     -12.000
325	     -11.125
326	     -12.875
327	     -11.750
328	     -12.250
329	     -11.500
330	     -12.500
331	     -11.500
332	     -12.500
333	     -12.000
334	     -12.000
335	       9.125
336	       8.875
337	      -2.500
338	      -3.500
339	      -2.250
340	      -3.750
341	      -2.250
342	      -3.750
343	      -2.875
344	      -3.125
345	      -2.750
346	      -3.250
347	      -2.250
348	      -3.750
349	      -2.125
350	      -3.875
351	      -2.125
352	      -3.875
353	      -2.875
354	      -3.125
355	      -2.625
356	      -3.375
357	      -2.875
358	      -3.125
359	      -3.000
360	      -3.000
361	      -2.625
362	      -3.375
363	      -3.000
364	      -3.000
365	      -2.375
366	      -3.625
367	      -2.750
368	      -3.250
369	      -2.750
370	      -3.250
371	      -2.625
372	      -3.375
373	      -2.750
374	      -3.250
375	      -2.250
376	      -3.750
377	      -2.750
378	      -3.250
379	      -2.250
380	      -3.750
381	      -2.875
382	      -3.125
383	      -2.625
384	      -3.375
385	      -2.750
386	      -3.250
387	      -2.250
388	      -3.750
389	      -2.625
390	      -3.375
391	      -3.000
392	      -3.000
393	      -3.000
394	      -3.000
395	      -3.000
396	      -3.000
397	      -2.375
398	      -3.625
399	      -2.250
400	      -3.750
401	      -3.000
402	      -3.000
403	      -2.750
404	      -3.250
405	      -2.625
406	      -3.375
407	      -2.125
408	      -3.875
409	      -2.875
410	      -3.125
411	      -2.875
412	      -3.125
413	      -2.750
414	      -3.250
415	      -2.250
416	      -3.750
417	      -2.125
418	      -3.875
419	      -2.375
420	      -3.625
421	      -2.250
422	      -3.750
423	      -2.375
424	      -3.625
425	      -2.250
426	      -3.750
427	      -2.750
428	      -3.250
429	      -3.000
430	      -3.000
431	      10.250
432	       9.750
433	       0.500
434	      -0.500
435	       0.875
436	      -0.875
437	       0.000
438	       0.000
439	       0.500
440	      -0.500
441	       0.125
442	      -0.125
443	       0.375
444	      -0.375
445	       0.750
446	      -0.750
447	       0.875
448	      -0.875
449	       0.875
450	      -0.875
451	       0.250
452	      -0.250
453	       0.875
454	      -0.875
455	       0.250
456	      -0.250
457	       0.500
458	      -0.500
459	       0.875
460	      -0.875
461	       0.375
462	      -0.375
463	       0.250
464	      -0.250
465	       0.750
466	      -0.750
467	       0.125
468	      -0.125
469	       0.000
470	       0.000
471	       0.125
472	      -0.125
473	       0.875
474	      -0.875
475	       0.250
476	      -0.250
477	       0.500
478	      -0.500
479	       0.000
480	       0.000
481	       0.250
482	      -0.250
483	       0.875
484	      -0.875
485	       0.250
486	      -0.250
487	       0.625
488	      -0.625
489	       0.750
490	      -0.750
491	       0.500
492	      -0.500
493	       0.250
494	      -0.250
495	       0.750
496	      -0.750
497	       0.375
498	      -0.375
499	       0.125
500	      -0.125
501	       0.375
502	      -0.375
503	       0.375
504	      -0.375
505	       0.500
506	      -0.500
507	       0.500
508	      -0.500
509	       0.500
510	      -0.500
511	       0.625
512	      -0.625
513	       0.500
514	      -0.500
515	       0.250
516	      -0.250
517	       0.750
518	      -0.750
519	       0.125
520	      -0.125
521	       0.625
522	      -0.625
523	       0.750
524	      -0.750
525	       0.750
526	      -0.750
527	       0.750
528	      -0.750
529	       0.375
530	      -0.375
531	       0.250
532	      -0.250
533	       0.875
534	      -0.875
535	       0.000
536	       0.000
537	       0.125
538	      -0.125
539	       0.375
540	      -0.375
541	       0.500
542	      -0.500
543	       0.500
544	      -0.500
545	       0.125
546	      -0.125
547	       0.125
548	      -0.125
549	       0.625
550	      -0.625
551	      13.000
552	      13.000
553	      -0.500
554	      -1.500
555	      -0.500
556	      -1.500
557	      -0.250
558	      -1.750
559	      -0.500
560	      -1.500
561	      -0.875
562	      -1.125
563	      -0.875
564	      -1.125
565	      -0.250
566	      -1.750
567	      -0.250
568	      -1.750
569	      -0.875
570	      -1.125
571	      -0.375
572	      -1.625
573	      -0.375
574	      -1.625
575	      -1.000
576	      -1.000
577	      -0.750
578	      -1.250
579	      -0.875
580	      -1.125
581	      -0.750
582	      -1.250
583	      -0.625
584	      -1.375
585	      -0.875
586	      -1.125
587	      -0.500
588	      -1.500
589	      -0.250
590	      -1.750
591	      -0.625
592	      -1.375
593	      -0.250
594	      -1.750
595	      -0.500
596	      -1.500
597	      -1.000
598	      -1.000
599	      -0.750
600	      -1.250
601	      -0.375
602	      -1.625
603	      -0.750
604	      -1.250
605	      -0.875
606	      -1.125
607	      -0.125
608	      -1.875
609	      -0.625
610	      -1.375
611	      -0.875
